  kategorie   |       art        |     gruppierung     |               sparte               |                                 form_name                                 
 Verträge     | Mietvertrag      | Abstellplatz        | Garage                             | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Abstellplatz        | Parkplatz                          | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Immobilie           | Ferienhaus                         | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Immobilie           | Ferienwohnung                      | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Immobilie           | Gebäude                            | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Immobilie           | Raum                               | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | KFZ                 | Auto                               | contract-insurance-automobile-automobilecontract
 Verträge     | Mietvertrag      | KFZ                 | Wohnmobil                          | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Wohnen              | Hausmietvertrag                    | contract-lease-realestate-leasecontract
 Verträge     | Mietvertrag      | Wohnen              | Wohnungsmietvertrag                | contract-lease-realestate-leasecontract
 Verträge     | Mietverwaltung   | Mietverwaltung      | Mietverwaltung                     | contract-rentalmanagement-rentalmanagement-rentalmanagementcontract
 Verträge     | Versicherung     | Gewerbe             | D&O Managerhaftpflicht             | contract-insurance-domanager-domanagercontract
 Verträge     | Versicherung     | Gewerbe             | Gebäude                            | contract-insurance-residential-residentialcontract
 Verträge     | Versicherung     | Gewerbe             | Rechtsschutz                       | contract-insurance-legalprotection-legalprotectioncontract
 Verträge     | Versicherung     | KFZ                 | Motorrad                           | contract-insurance-automobile-automobilecontract
 Verträge     | Versicherung     | KFZ                 | Traktor                            | contract-insurance-automobile-automobilecontract
 Verträge     | Versicherung     | KFZ                 | Wohnmobil                          | contract-insurance-automobile-automobilecontract
 Verträge     | Versicherung     | KFZ                 | Wohnwagen                          | contract-insurance-automobile-automobilecontract
 Verträge     | Versicherung     | Kranken             | Ausland                            | contract-insurance-inthealth-inthealthcontract
 Verträge     | Versicherung     | Kranken             | Auslandsreise                      | contract-insurance-travel-travelcontract
 Verträge     | Versicherung     | Kranken             | gesetzliche Krankenversicherung    | contract-insurance-health-healthcontract
 Verträge     | Versicherung     | Kranken             | Krankenhaustagegeld                | contract-insurance-dailyhospital-dailyhospitalcontract
 Verträge     | Versicherung     | Kranken             | Krankentagegeld                    | contract-insurance-dailysickness-dailysicknesscontract
 Verträge     | Versicherung     | Kranken             | Privat Kranken voll                | contract-insurance-health-prisickfullcontract
 Verträge     | Versicherung     | Kranken             | Privat Zusatz ambulant             | contract-insurance-priaddout-priaddoutcontract
 Verträge     | Versicherung     | Kranken             | Privat Zusatz stationär            | contract-insurance-priaddstat-priaddstatcontract
 Verträge     | Versicherung     | Kranken             | Privat Zusatz Zahn                 | contract-insurance-priaddtooth-priaddtoothcontract
 Verträge     | Versicherung     | Leben               | Berufsunfähigkeit                  | contract-insurance-disability-disabilitycontract
 Verträge     | Versicherung     | Leben               | Pflegetagegeld                     | contract-insurance-longtermcaredaily-longtermcaredailycontract
 Verträge     | Versicherung     | Leben               | Pflegeversicherung                 | contract-insurance-longtermcare-longtermcarecontract
 Verträge     | Versicherung     | Leben               | Rentenversicherung Fonds           | contract-insurance-pensionfund-pensionfundcontract
 Verträge     | Versicherung     | Leben               | Rentenversicherung klassisch       | contract-insurance-classicpension-classicpensioncontract
 Verträge     | Versicherung     | Leben               | Risiko Lebensversicherung          | contract-insurance-risklife-risklifecontract
 Verträge     | Versicherung     | Sach                | Bauherrenhaftpflicht               | contract-insurance-builderliability-builderliabilitycontract
 Verträge     | Versicherung     | Sach                | E-Bike & Pedeleg                   | contract-insurance-bike-bikecontract
 Verträge     | Versicherung     | Sach                | Elementar (Wohngebäude)            | contract-insurance-fire-firecontract
 Verträge     | Versicherung     | Sach                | Feuer                              | contract-insurance-fire-firecontract
 Verträge     | Versicherung     | Sach                | Glas                               | contract-insurance-automobile-automobilecontract
 Verträge     | Versicherung     | Sach                | Hausrat                            | contract-insurance-furniture-furniturecontract
 Verträge     | Versicherung     | Sach                | Haus- und Grundbesitzerhaftpflicht | contract-insurance-liability-liabilitycontract
 Verträge     | Versicherung     | Sach                | Kunst                              | contract-insurance-expatriates-expatriatescontract
 Verträge     | Versicherung     | Sach                | Mietausfall                        | contract-insurance-rental-rentalcontract
 Verträge     | Versicherung     | Sach                | Photovoltaik                       | contract-insurance-photovoltaic-photovoltaiccontract
 Verträge     | Versicherung     | Sach                | Privathaftpflicht                  | contract-insurance-liability-liabilitycontract
 Verträge     | Versicherung     | Sach                | Rechtsschutz                       | contract-insurance-legalprotection-legalprotectioncontract
 Verträge     | Versicherung     | Sach                | Tierhalterhaftpflicht              | contract-insurance-liabilitypet-liabilitypetcontract
 Verträge     | Versicherung     | Sach                | Tier OP                            | contract-insurance-pet-petcontract
 Verträge     | Versicherung     | Sach                | Umweltschadenhaftpflicht           | contract-insurance-environmentaldamage-environmentaldamagecontract
 Verträge     | Versicherung     | Sach                | Unfall                             | contract-insurance-accident-accidentcontract
 Verträge     | Versicherung     | Sach                | Wohngebäude                        | contract-insurance-residential-residentialcontract
(267 rows)

