Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Fahrrad","E-Bike","Lifestyle","mobility","bike","e_bike","e_lifestyle","ebike","mobility-bike-e_bike-e_lifestyle"
"Mobilität","Fahrrad","Pedelec","Lifestyle","mobility","bike","pedelec","p_lifestyle","pedelec","mobility-bike-pedelec-p_lifestyle"
"Mobilität","Fahrrad","Bike","Lifestyle","mobility","bike","bike","lifestyle","bicycle","mobility-bike-bike-lifestyle"
"Mobilität","Personenfahrzeug","Auto","Limousine","mobility","passenger_vehicle","car","limousine","car","mobility-passenger_vehicle-car-limousine"
"Mobilität","Nutzfahrzeug","Wohnwagen","Luxus","mobility","commercial_vehicle","caravan","luxury","caravan","mobility-commercial_vehicle-caravan-luxury"
"Immobilien","mit Bebauung","Wohnhaus","Mehrfamilienhaus","realestate","with_development","residential_building","apartment_building","commercial-residential-property","realestate-with_development-residential_building-apartment_building"
"Verträge","Versicherung","Sach","Mietausfall","contract","insurance","object","loss_of_rent","contract-insurance-rental-rentalcontract","contract-insurance-object-loss_of_rent"
"Verträge","Dienstleistung","Service","Mietverwaltung","contract","service","service","rental_management","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","contract-service-service-rental_management"
"Verträge","Arbeitsvertrag","Beamter","Mini","contract","employment_contract","official","mini_job","employment-contract","contract-employment_contract-official-mini_job"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Mini","contract","employment_contract","public_service","mini_job","employment-contract","contract-employment_contract-public_service-mini_job"
"Verträge","Arbeitsvertrag","Angestellter","Mini","contract","employment_contract","employee","mini_job","employment-contract","contract-employment_contract-employee-mini_job"
"Mobilität","Personenfahrzeug","Auto","Minivan","mobility","passenger_vehicle","car","minivan","car","mobility-passenger_vehicle-car-minivan"
"Mobilität","Personenfahrzeug","Wohnmobil","mit Alkoven","mobility","passenger_vehicle","camper","alkoven","camper","mobility-passenger_vehicle-camper-alkoven"
"Verträge","Darlehen","Immobilie","Modernisierung","contract","loan","realestate","modernization","contract-loan-credit-creditcontract","contract-loan-realestate-modernization"
"Verträge","Kredit","Kredit","Modernisierung","contract","credit","credit","modernization","contract-loan-credit-creditcontract","contract-credit-credit-modernization"
"Mobilität","Personenfahrzeug","Motorrad","Motocross","mobility","passenger_vehicle","motorcycle","motocross","motocross","mobility-passenger_vehicle-motorcycle-motocross"
"Verträge","Kredit","KFZ","Motorboot","contract","credit","car","boat","contract-loan-credit-creditcontract","contract-credit-car-boat"
"Mobilität","Boot","Motorbetrieben","Motorboot","mobility","boat","motorized","motorboat","motorboat","mobility-boat-motorized-motorboat"
"Verträge","Versicherung","KFZ","Motorrad","contract","insurance","car","motorcycle","contract-insurance-automobile-automobilecontract","contract-insurance-car-motorcycle"
"Verträge","Kaufvertrag","KFZ","Motorrad","contract","purchase_contract","car","motorcycle","contract-sale-sale-salecontract","contract-purchase_contract-car-motorcycle"
"Mobilität","Boot","Hybrid","Motorsegler","mobility","boat","hybrid","motor_glider","motorsailer","mobility-boat-hybrid-motor_glider"
"Mobilität","Fahrrad","Bike","Mountainbike","mobility","bike","bike","mtb","bicycle","mobility-bike-bike-mtb"
"Mobilität","Fahrrad","Pedelec","Mountainbike","mobility","bike","pedelec","p_mtb","pedelec","mobility-bike-pedelec-p_mtb"
