id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
190;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.xxl;47;mobility;;bicycle
191;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-city;48;mobility;;ebike
192;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-cross;48;mobility;;ebike
193;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-tricycle;48;mobility;;ebike
194;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-folding-bike;48;mobility;;ebike
195;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-gravel;48;mobility;;ebike
196;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-cargo;48;mobility;;ebike
197;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-lifestyle;48;mobility;;ebike
198;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-mtb;48;mobility;;ebike
199;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-racing-bike;48;mobility;;ebike
200;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-speed-bike;48;mobility;;ebike
201;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-suv;48;mobility;;ebike
202;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-trekking-bike;48;mobility;;ebike
203;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-xxl;48;mobility;;ebike
204;Motorsegler;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motor-glider;49;mobility;;motorsailer
205;A;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan
206;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan
207;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan
208;Motorboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat
209;Sportboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat
210;Yacht;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat
211;Jollenkreuzer;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat
212;Chopper;2023-06-13 00:00:00;jaynaApp.mobility.group-type.chopper;52;mobility;;chopper
213;Cruiser;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cruiser;52;mobility;;cruiser
214;Dirt Bike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.dirt-bike;52;mobility;;dirt-bike
215;Motocross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motocross;52;mobility;;motocross
216;Naked;2023-06-13 00:00:00;jaynaApp.mobility.group-type.naked;52;mobility;;naked
217;Srambler;2023-06-13 00:00:00;jaynaApp.mobility.group-type.srambler;52;mobility;;srambler
218;Streetfighter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.streetfighter;52;mobility;;streetfighter
219;Stuntbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.stuntbike;52;mobility;;stuntbike
220;Trial;2023-06-13 00:00:00;jaynaApp.mobility.group-type.trial;52;mobility;;trial
221;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-city;53;mobility;;pedelec
222;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-cross;53;mobility;;pedelec
223;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-tricycle;53;mobility;;pedelec
224;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-folding-bike;53;mobility;;pedelec
225;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-gravel;53;mobility;;pedelec
226;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-cargo;53;mobility;;pedelec
227;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-lifestyle;53;mobility;;pedelec
228;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-mtb;53;mobility;;pedelec
229;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-racing-bike;53;mobility;;pedelec
230;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-speed-bike;53;mobility;;pedelec
231;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-suv;53;mobility;;pedelec
232;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-trekking-bike;53;mobility;;pedelec
233;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.p-xxl;53;mobility;;pedelec
234;4x4;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-4x4;54;mobility;;quad
235;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-c;54;mobility;;quad
236;Elektro;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-electro;54;mobility;;quad
237;Kinder;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-children;54;mobility;;quad
238;Offroad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-offroad;54;mobility;;quad
239;Pocket;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-pocket;54;mobility;;quad
240;Renn;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-race;54;mobility;;quad
241;Road;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-road;54;mobility;;quad
242;Side by Side;2023-06-13 00:00:00;jaynaApp.mobility.group-type.quad-side-by-side;54;mobility;;quad
243;Segelboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sailing-boat;55;mobility;;sailboat
244;Segelyacht;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sailing-yacht;55;mobility;;sailboat
245;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor
246;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor
247;Träker;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tractor;56;mobility;;tractor
248;mit Alkoven;2023-06-13 00:00:00;jaynaApp.mobility.group-type.alkoven;57;mobility;;camper
249;teilintegriert;2023-06-13 00:00:00;jaynaApp.mobility.group-type.semi-integrated;57;mobility;;camper
250;vollintegriert;2023-06-13 00:00:00;jaynaApp.mobility.group-type.fully-integrated;57;mobility;;camper
251;Familien;2023-06-13 00:00:00;jaynaApp.mobility.group-type.family;58;mobility;;caravan
252;Luxus;2023-06-13 00:00:00;jaynaApp.mobility.group-type.luxury;58;mobility;;caravan
253;Sport;2023-06-13 00:00:00;jaynaApp.mobility.group-type.sport;58;mobility;;caravan
