id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
129;Zweifamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.two-family-house;34;realestate;ZFH;commercial-residential-property;system;STATIC
130;Wohnungen & Gewerbe;2023-06-13 00:00:00;jaynaApp.realestate.group-type.apartments-commercial-mix;35;realestate;PGM;commercial-residential-property;system;STATIC
131;Carport;2023-06-13 00:00:00;jaynaApp.realestate.group-type.carport;36;realestate;CARP;carport;system;STATIC
132;Garage;2023-06-13 00:00:00;jaynaApp.realestate.group-type.garage;36;realestate;GARA;garage;system;STATIC
133;Parkhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-house;36;realestate;PARH;parking-house;system;STATIC
134;Parkplatz;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-space;36;realestate;PARP;parking-space;system;STATIC
135;Ackerland;2023-06-13 00:00:00;jaynaApp.realestate.group-type.farmland;37;realestate;ACKE;farmland;system;STATIC
136;Forst;2023-06-13 00:00:00;jaynaApp.realestate.group-type.forest;37;realestate;FORS;forest;system;STATIC
137;Frucht;2023-06-13 00:00:00;jaynaApp.realestate.group-type.fruit;37;realestate;FRUCH;fruit;system;STATIC
138;Weide;2023-06-13 00:00:00;jaynaApp.realestate.group-type.pasture;37;realestate;WEID;pasture;system;STATIC
139;Schrebergarten;2023-06-13 00:00:00;jaynaApp.realestate.group-type.allotment-garden;38;realestate;STGA;allotment-garden;system;STATIC
140;Bebauungsgrundstück;2023-06-13 00:00:00;jaynaApp.realestate.group-type.building-plot;39;realestate;BBGS;building-plot;system;STATIC
141;Wiese;2023-06-13 00:00:00;jaynaApp.realestate.group-type.meadow;39;realestate;WIES;meadow;system;STATIC
142;Notar;2023-06-13 00:00:00;jaynaApp.contract.group-type.notary;5;contract;;notary;system;STATIC
143;Gemeindegebühren;2023-06-13 00:00:00;jaynaApp.contract.group-type.municipal-fees;40;contract;;municipal-fees;system;STATIC
144;Grunderwerbssteuer;2023-06-13 00:00:00;jaynaApp.contract.group-type.real-estate-tax;40;contract;;real-estate-tax;system;STATIC
145;Girokonto;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.checking-account;41;financeaccount;;checking-account;system;STATIC
146;Sparkonto;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.saving-account;41;financeaccount;;saving-account;system;STATIC
147;Charge;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.charge;42;financeaccount;;charge;system;STATIC
148;Revolving;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.revolving;42;financeaccount;;revolving;system;STATIC
149;Prepaid;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.prepaid;42;financeaccount;;prepaid;system;STATIC
150;Debit;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.debit;42;financeaccount;;debit;system;STATIC
151;Online Virtuell;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.online-virtual;42;financeaccount;;online-virtual;system;STATIC
152;Paypal;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.paypal;43;financeaccount;;paypal;system;STATIC
153;Samsung;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.samsung;42;financeaccount;;samsung;system;STATIC
154;Google Pay;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.google-pay;43;financeaccount;;google-pay;system;STATIC
155;Apple Pay;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.apple-pay;43;financeaccount;;apple-pay;system;STATIC
156;Skrill;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.skrill;43;financeaccount;;skrill;system;STATIC
157;Stripe;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.stripe;43;financeaccount;;stripe;system;STATIC
158;Klarna;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.klarna;43;financeaccount;;klarna;system;STATIC
